Order ID,Order Date,Order Mode,Customer ID,Product ID,Sales,Cost Price,Quantity,Discount
LHH-558367,3/22/2024,Online,TV097382,01JZ3N55NARNE1G3WPE1WGKKCJ,24.99,7.497,2,0.32
KOE-889608,4/27/2024,In-Store,RV043501,01JZ3N5211H5Z8GNXF13ZBQ4P3,6.49,1.947,17,0.19
QRI-948543,07/01/2024,Online,LJ099998,01JZ3N53KVFN1BZ1409F0VRVZK,2.99,0.897,8,0.12
GIK-189195,12/20/2024,In-Store,NF066979,01JZ3N55BZG2B4ZMCC6BSG6CSN,49.99,14.997,10,0.28
WTV-806290,5/30/2024,Online,CY070612,01JZ3N531G9AYMH2BNY4X1PHPD,3.99,1.197,6,0.2
FZJ-411782,08/05/2024,In-Store,DO001772,01JZ3N50BAN4VPEMRXSM07W2AJ,2.49,0.747,11,0.23
NPF-752480,8/20/2024,Online,QJ030114,01JZ3N51X8ESYNKHE1F3EGQNGB,9.99,2.997,4,0.02
EWP-440515,1/30/2024,In-Store,AP095673,01JZ3N523DHKS67YP7SZPV9FYS,22.99,6.897,12,0.28
KZT-373731,1/15/2024,Online,NF066979,01JZ3N55BZG2B4ZMCC6BSG6CSN,49.99,14.997,18,0.35
UYM-559563,2/23/2024,In-Store,RO013242,01JZ3N56C1A9CHA0N1Y69ZAW81,2.49,0.747,12,0.06
WGP-179826,12/09/2024,Online,EF042732,01JZ3N50YQRSTBEK1V0TPVB9V1,3.49,1.047,2,0.22
EBE-258783,06/01/2024,In-Store,TA007457,01JZ3N53KJEBVF4YQHG9P971C1,349.99,104.997,3,0.12
HKR-361612,01/08/2024,Online,SE071898,01JZ3N50F0436PFGGCPVTJH0N7,29.99,8.997,20,0.09
FUJ-789993,3/31/2024,In-Store,HF000394,01JZ3N559NT6YEGCRYTD92A483,2.99,0.897,5,0.17
LGE-086752,07/03/2024,Online,YD055268,01JZ3N50P7QRCZ56X6EBRNMQA2,23.99,7.197,13,0.3
RVF-496613,12/16/2024,In-Store,SJ097729,01JZ3N569SEYEBC3Y2VT0C9KDN,19.99,5.997,11,0.21
QVJ-122549,05/06/2024,Online,MU027586,01JZ3N56HY4FQKQHB3EV81GBHT,2.79,0.837,12,0.38
HUS-487080,02/06/2024,In-Store,CH053616,01JZ3N5564R4DZ0FNCBDX3G003,3.99,1.197,9,0.15
EBN-292235,3/14/2024,Online,SW066440,01JZ3N53V1DCJKDH1GWMN78CP9,8.99,2.697,1,0.11
CGW-286266,1/16/2024,In-Store,LR063902,01JZ3N55QAK5FSHMPNACECT7AF,2.99,0.897,18,0.11
PNQ-370403,4/28/2024,Online,YK006641,01JZ3N52KE6WBADNVZ1EBY62KA,3.29,0.987,17,0.36
ZMO-132174,12/07/2024,In-Store,QP097532,01JZ3N52PTSQ54GHM51GFH98K5,4.49,1.347,13,0.38
NIR-271379,4/30/2024,Online,PW078874,01JZ3N521XB0B19GTMP8GC1TWY,2.99,0.897,18,0.34
AGP-394891,01/09/2024,In-Store,UX079399,01JZ3N56EDKJN482JFVHXHX5N3,14.99,4.497,20,0.36
XLY-490554,06/10/2024,Online,MR095188,01JZ3N51CRWEQ95V50E9ZWKXWJ,149.99,44.997,11,0.1
EID-239131,02/07/2024,In-Store,KP021070,01JZ3N54V8YM6909XY5GCANCVQ,5.99,1.797,16,0.15
SRF-971261,6/19/2024,Online,CJ007867,01JZ3N52JGHV09VASZF1B5T3PX,49.99,14.997,17,0.39
WEQ-875576,1/23/2024,In-Store,XT003630,01JZ3N51E8MR51C41QCMABZRME,5.99,1.797,2,0.19
JAP-101546,12/15/2024,Online,ON014862,01JZ3N52V9P3X4AK5BDTK63N1C,3.49,1.047,1,0.2
YGA-301204,12/17/2024,In-Store,XE095413,01JZ3N56E5FPP5DJHCE2JHF03F,2.99,0.897,3,0.13
MFR-865156,3/24/2024,Online,CI029431,01JZ3N55KKMZ5E03M2JK0DCAYK,14.99,4.497,10,0.32
XOP-958785,03/07/2024,In-Store,VQ012259,01JZ3N50CM9GSR1HZ49HR8NNKD,1.29,0.387,6,0.04
RPJ-610873,11/19/2024,Online,DI067107,01JZ3N55EPTAZNA3KX60RKB3NQ,54.99,16.497,7,0.14
QJY-165230,04/06/2024,In-Store,MX021696,01JZ3N53T1AG60M53GCBTDGNS4,29.99,8.997,20,0.1
NBI-664725,9/17/2024,Online,XE095413,01JZ3N56E5FPP5DJHCE2JHF03F,2.99,0.897,14,0.4
YBJ-381068,9/22/2024,In-Store,TV097382,01JZ3N55NARNE1G3WPE1WGKKCJ,24.99,7.497,11,0.29
DOI-094069,10/19/2024,Online,YX078642,01JZ3N52FVYK6CPX1XJRSGSWT0,3.29,0.987,19,0.19
IXU-406756,01/06/2024,In-Store,DG015801,01JZ3N50PTMWFQ2C50QVFY9HGM,49.99,14.997,7,0.13
VQP-693199,9/17/2024,Online,GO006694,01JZ3N52NWCPHRRRGB6YBX256V,3.99,1.197,9,0.09
VQA-378281,8/29/2024,In-Store,PS058519,01JZ3N5294GCVQ1ECVFYNG482Q,39.99,11.997,1,0.02
YVX-672628,10/27/2024,Online,RU058520,01JZ3N56BQNGWJE6W17D61P2N9,59.99,17.997,19,0.16
OFL-131545,9/18/2024,In-Store,YR000590,01JZ3N508MF8VK9CBCHRZ18QYV,4.49,1.347,11,0.23
UOH-362905,8/28/2024,Online,RK016062,01JZ3N50KQAEMNEQA201AR9NWY,49.99,14.997,17,0.39
AFL-813239,5/18/2024,In-Store,LT061731,01JZ3N5605QF5QNFNAWRYMKMNK,1.99,0.597,13,0.13
WWY-459047,10/04/2024,Online,YK006641,01JZ3N52KE6WBADNVZ1EBY62KA,3.29,0.987,10,0.08
PBP-493677,09/09/2024,In-Store,VO026219,01JZ3N52YVSMKFXGFPHX7T2FJ8,3.99,1.197,17,0.29
FHC-401967,04/03/2024,Online,JY078378,01JZ3N552FMW6898G406DB65W2,8.99,2.697,5,0.11
HOA-566039,03/04/2024,In-Store,AC032117,01JZ3N5146RYS4NXJ7XFQ7YHWE,12.99,3.897,19,0.07
EZZ-651660,4/20/2024,Online,YJ078139,01JZ3N52Q3Q3X4VAX3JPA5WFX5,5.99,1.797,8,0.26
MYV-956855,10/21/2024,In-Store,AG018641,01JZ3N5093R5YRZTGX557D4ZC5,3.29,0.987,5,0.09
YLZ-753466,03/10/2024,Online,VQ077263,01JZ3N571V9N657HDH99TS38XR,49.99,14.997,18,0.23
TGO-951823,5/27/2024,In-Store,JA054648,01JZ3N50HGHYSE5QERK3VQSTD3,24.99,7.497,1,0.18
LVY-421886,8/13/2024,Online,MB099438,01JZ3N50S6DYJAAMWKMFHCD5G6,3.49,1.047,1,0.07
XTB-177021,07/05/2024,In-Store,HU066299,01JZ3N54SQP3DBBP7E9DYYHST8,59.99,17.997,11,0.08
XMS-444293,9/14/2024,Online,ON014862,01JZ3N52V9P3X4AK5BDTK63N1C,3.49,1.047,19,0.23
ITN-259535,09/04/2024,In-Store,NH032711,01JZ3N55HHMNQKVPXTN9EEDGKD,29.99,8.997,19,0.27
MFU-541584,3/24/2024,Online,GT004985,01JZ3N51H7JTMPXEQ4MPHWQF6C,19.99,5.997,2,0.17
LUS-907074,12/28/2024,In-Store,XB095293,01JZ3N567GDDSRQ50H4EB8444Z,3.99,1.197,9,0.22
DMB-280657,4/14/2024,Online,WZ006306,01JZ3N55NWDR1PYN87QKB5G8GC,6.99,2.097,11,0.28
SRK-984107,4/20/2024,In-Store,VY088461,01JZ3N54S5AN8WVRV9BQEJG3GP,1.99,0.597,17,0.18
GJY-448215,5/24/2024,Online,AK047185,01JZ3N517FHAQZQGABMM53QAY3,3.99,1.197,12,0.25
QER-301502,12/14/2024,In-Store,RP069641,01JZ3N51J77D5CPH45X9202KPD,49.99,14.997,5,0.31
OKS-616758,02/04/2024,Online,LY032208,01JZ3N537HT3E6QJW6HN803AES,34.99,10.497,10,0.4
EOV-498046,1/28/2024,In-Store,FZ057864,01JZ3N50XWMBB5TMRN3G0DDW7E,3.49,1.047,15,0.28
GVK-757036,2/19/2024,Online,TK000744,01JZ3N54Z6BWRP2RE77PMR55DY,3.79,1.137,9,0.38
WWC-630739,9/28/2024,In-Store,UM003359,01JZ3N51FNZKSA0PQP5CH8H6NM,59.99,17.997,4,0.09
QOF-023801,1/22/2024,Online,BK006338,01JZ3N53GPW13AS433J07PHRXR,14.99,4.497,14,0.31
OMI-219475,05/03/2024,In-Store,SL056460,01JZ3N56DWWWHE846PS57EFS76,3.49,1.047,9,0.06
OGD-569829,4/29/2024,Online,LW071445,01JZ3N55VSJMMDRYMXXA19JG7M,29.99,8.997,3,0.4
JAH-721965,3/14/2024,In-Store,XT003630,01JZ3N51E8MR51C41QCMABZRME,5.99,1.797,3,0.24
IOK-451161,11/08/2024,Online,OA076119,01JZ3N55D31C3SWE7XTJVEGTDV,12.99,3.897,2,0.24
JLQ-890945,05/11/2024,In-Store,IC023332,01JZ3N56V99GJ5CZN9NW0R699X,49.99,14.997,17,0.31
OEY-629318,3/17/2024,Online,TV097382,01JZ3N55NARNE1G3WPE1WGKKCJ,24.99,7.497,12,0.02
RGT-191247,10/09/2024,In-Store,XT059837,01JZ3N51QKJHJC1WH9BZE9C27K,2.49,0.747,8,0.01
WOB-040251,6/25/2024,Online,YJ078139,01JZ3N52Q3Q3X4VAX3JPA5WFX5,5.99,1.797,9,0.11
FVJ-324036,05/03/2024,In-Store,RJ028775,01JZ3N56W0X28ZAEZR3E1VVJD3,4.99,1.497,7,0.26
FGL-253760,08/04/2024,Online,YU047262,01JZ3N5526DZNW71Y3Q7DYRDAJ,8.49,2.547,9,0.31
TVS-060453,6/14/2024,In-Store,LH034480,01JZ3N529DT4GY4VV223EADGJZ,39.99,11.997,14,
IRL-970024,7/24/2024,Online,IN017659,01JZ3N5176ABVX6HPJJCZFZ38B,69.99,20.997,1,0.13
CDT-919568,5/21/2024,In-Store,LJ099998,01JZ3N53KVFN1BZ1409F0VRVZK,2.99,0.897,20,0.29
QNQ-852444,10/01/2024,Online,UF034417,01JZ3N50NQCRTY15T5KFHYD594,6.99,2.097,20,0.08
BYV-197637,12/27/2024,In-Store,XQ042731,01JZ3N51HFVMYC4EW6K01Y2JKB,79.99,23.997,16,0.29
DPS-751482,11/18/2024,Online,EO027251,01JZ3N52FJDN3K45BYM4W7B0TM,89,26.7,4,0.36
UTP-786201,1/20/2024,In-Store,GL049016,01JZ3N524BG6AVKDXPK72N2HAF,4.49,1.347,7,
AML-474220,11/27/2024,Online,LO028977,01JZ3N512GHNAJSF3HCCQ0PQYY,2.99,0.897,18,0.02
ITO-658662,12/10/2024,In-Store,PN010412,01JZ3N55JX79NVSRWTH1ACVZ43,3.29,0.987,3,0.4
SMI-190672,9/26/2024,Online,AX035056,01JZ3N56JGW5703P2DCNZSMNSC,59.99,17.997,9,0.19
EDX-742395,3/19/2024,In-Store,QZ098914,01JZ3N53F3WGVRRWHKV0XYSVFK,29.99,8.997,9,0.05
MXK-599814,7/19/2024,Online,BW040945,01JZ3N51JR4MXWEX0PVEQEX3YQ,24.99,7.497,2,0.11
SGO-996386,7/31/2024,In-Store,RG074102,01JZ3N51WKAA9K6X60CRC3SQBH,3.19,0.957,4,0.06
SOA-982943,9/17/2024,Online,JJ088756,01JZ3N52CQH0A51Y7G102J7Z5V,4.89,1.467,12,0.3
GVI-919082,3/26/2024,In-Store,YL065975,01JZ3N51GB6BDR542KWQH4HB6P,14.99,4.497,14,
KCA-992830,3/13/2024,Online,MX029359,01JZ3N50Z8KTRXG596Y8Q8CW48,3.29,0.987,4,0.22
GQV-065197,6/15/2024,In-Store,NV061613,01JZ3N50JN2EP4TYFBR2DYHPE6,59.99,17.997,11,0
CIF-344670,10/03/2024,Online,RL033705,01JZ3N51JG9CYNGR3049ZCR91W,39.99,11.997,16,0.13
SUA-403305,9/24/2024,In-Store,QY049868,01JZ3N56357RX27SVPH69AFFC2,19.99,5.997,16,0.09
USI-207379,01/06/2024,Online,PC066841,01JZ3N53TDNPT7AF2AWE4TYGFF,39.99,11.997,13,0.13
SKE-740254,12/13/2024,In-Store,RO013242,01JZ3N56C1A9CHA0N1Y69ZAW81,2.49,0.747,19,0.13
AHG-251443,3/25/2024,Online,CI029431,01JZ3N55KKMZ5E03M2JK0DCAYK,14.99,4.497,9,0.03
YWV-893212,09/09/2024,In-Store,AW056186,01JZ3N55Y4FVCVP8CAXFFPKY0F,59.99,17.997,4,
MFL-642054,9/27/2024,Online,QN014838,01JZ3N53QEPZ1M2ACHNRENHYAP,12.99,3.897,16,0.4
HMW-407017,9/14/2024,In-Store,YB068814,01JZ3N5181BJK644B8MDDY746W,3.49,1.047,6,0.39
GJS-072364,02/04/2024,Online,PB063442,01JZ3N56NQJT7PSK1CHWNZ3WN8,4.49,1.347,12,0.3
PNA-042598,11/27/2024,In-Store,EY021607,01JZ3N55ZCM1H50JM2ZZ2RGRXB,3.49,1.047,18,0.32
BDO-226430,5/23/2024,Online,FX080042,01JZ3N569GME8C131NNTV6PRVE,1.29,0.387,13,0.13
KTV-947888,12/12/2024,In-Store,PH033131,01JZ3N570B92D2EWZB6VY8JH77,4.99,1.497,1,0.25
HOX-699761,4/20/2024,Online,ON076441,01JZ3N5127MA9SZ1Q03R14VSK5,2.99,0.897,18,0.37
QTJ-260335,01/05/2024,In-Store,KI039617,01JZ3N5235WTG93CAHMS6XDQ5H,8.99,2.697,18,0.33
OMI-935342,09/09/2024,Online,CX029462,01JZ3N53FB041Z827WE4SCE0SX,2.29,0.687,4,0.05
JFE-069714,05/04/2024,In-Store,IN017659,01JZ3N5176ABVX6HPJJCZFZ38B,69.99,20.997,3,0.32
JTG-961090,8/29/2024,Online,TU039036,01JZ3N51Z9VSARSSSETS0K8RKF,1.99,0.597,14,0.19
PJC-898779,10/03/2024,In-Store,VH068058,01JZ3N50RCQF4GARFTPQGCDT9A,139.99,41.997,20,0
PII-823943,08/02/2024,Online,IJ021121,01JZ3N52MCGWBBBMT53ZYAV7MD,29.99,8.997,1,0.07
KZO-970472,10/18/2024,In-Store,AO040681,01JZ3N50X02HYKQDKFBBN24CEQ,39.99,11.997,9,0.23
SHN-668088,5/14/2024,Online,GF083063,01JZ3N52A36FB3FKXD6BYY61T2,19.99,5.997,18,
RLV-229919,08/02/2024,In-Store,IM018779,01JZ3N55ZXQ710RNGDPT0YJCWE,4.99,1.497,11,0.25
JPV-831689,1/26/2024,Online,WW058734,01JZ3N515KCJAGSAJK102TK920,6.29,1.887,6,0.21
RHT-334131,7/16/2024,In-Store,VQ077263,01JZ3N571V9N657HDH99TS38XR,49.99,14.997,11,0.36
GXT-847658,2/19/2024,Online,VQ012259,01JZ3N50CM9GSR1HZ49HR8NNKD,1.29,0.387,20,0.08
ESC-583451,01/02/2024,In-Store,VN077787,01JZ3N5333XQHEJB7HAT8SMNXC,299.99,89.997,12,0.27
VCA-613402,01/09/2024,Online,NS069640,01JZ3N5618YV1KAK7R07ZPTJ6Y,2.49,0.747,4,
ZLW-901935,02/05/2024,In-Store,DV035511,01JZ3N50HW789FEKQR5P9EPXWN,4.99,1.497,7,0.38
DWK-052080,11/22/2024,Online,VL030233,01JZ3N56XZZP7JVTBGBDRQQY2P,1.5,0.45,6,0.18
NKT-899442,9/15/2024,In-Store,XI060063,01JZ3N55QVE69N5EK5NDX3P6XT,7.49,2.247,5,0.39
ZBI-196782,11/05/2024,Online,PC066841,01JZ3N53TDNPT7AF2AWE4TYGFF,39.99,11.997,2,0.35
HBR-592834,10/13/2024,In-Store,EQ042956,01JZ3N51B4Q105JC9Q0RGAHW73,12.99,3.897,10,0.3
IRG-546103,1/14/2024,Online,MQ028717,01JZ3N51K81J5M6WWGKV8BS5XX,11.99,3.597,7,0.2
SDP-513532,11/13/2024,In-Store,WV028647,01JZ3N52HKDPJW3M5A6W4PXN7M,4.49,1.347,2,0.33
PLF-243831,1/17/2024,Online,LZ016012,01JZ3N50DGF8T70K4SN0233WT4,89.99,26.997,5,0.18
HLR-252993,02/01/2024,In-Store,MQ028717,01JZ3N51K81J5M6WWGKV8BS5XX,11.99,3.597,5,0.25
FNI-682427,11/23/2024,Online,RG074102,01JZ3N51WKAA9K6X60CRC3SQBH,3.19,0.957,11,0.37
ZAQ-387214,11/12/2024,In-Store,VA049493,01JZ3N51PTJBK8NSJV8GDX8NH1,2.99,0.897,13,0.26
CRE-251603,01/06/2024,Online,TD068892,01JZ3N51MP6TFSE8G4Q51QJ3J2,5.29,1.587,1,0.02
NIA-386169,8/21/2024,In-Store,UB006545,01JZ3N52SQ40MP00G4G898B6DF,29.99,8.997,20,0.33
UVM-099564,04/10/2024,Online,CG060898,01JZ3N51V0YYJTCZB369CA5D23,2.49,0.747,8,0.37
YGI-272159,12/30/2024,In-Store,MI077636,01JZ3N509V6QVH2HX9RQQ7JDPZ,49.99,14.997,1,0.09
GIU-272415,8/15/2024,Online,DS088458,01JZ3N55ZMR3ZJDFSXXBY94MPZ,69.99,20.997,18,
QVB-414725,6/21/2024,In-Store,BJ097202,01JZ3N56CWBQZVR8G7GVZCY8ZH,4.99,1.497,9,0.04
RTE-028359,6/22/2024,Online,MI077636,01JZ3N509V6QVH2HX9RQQ7JDPZ,49.99,14.997,5,0.05
JLY-474400,05/09/2024,In-Store,IE054911,01JZ3N53VJCJRB5N4DZJYWDA7S,4.49,1.347,7,0.13
